image_path,overall_grade,centering,corners,edges,surface
data\raw_slabs\synth_01_0000.jpg,1,1.3,1.0,1.0,1.0
data\raw_slabs\synth_01_0001.jpg,1,1.5,1.4,1.8,1.0
data\raw_slabs\synth_01_0002.jpg,1,1.0,1.0,1.0,1.0
data\raw_slabs\synth_01_0003.jpg,1,1.0,1.0,1.3,1.1
data\raw_slabs\synth_01_0004.jpg,1,1.0,1.2,1.6,1.0
data\raw_slabs\synth_01_0005.jpg,1,1.6,1.4,1.0,1.0
data\raw_slabs\synth_01_0006.jpg,1,1.9,1.0,1.0,1.0
data\raw_slabs\synth_01_0007.jpg,1,1.7,1.2,1.6,1.5
data\raw_slabs\synth_01_0008.jpg,1,1.1,1.9,1.0,1.1
data\raw_slabs\synth_01_0009.jpg,1,1.7,1.2,1.7,1.2
data\raw_slabs\synth_01_0010.jpg,1,1.4,1.0,1.0,1.0
data\raw_slabs\synth_01_0011.jpg,1,1.0,1.0,1.0,1.0
data\raw_slabs\synth_01_0012.jpg,1,1.3,1.0,1.0,1.0
data\raw_slabs\synth_01_0013.jpg,1,1.0,1.9,1.3,1.2
data\raw_slabs\synth_01_0014.jpg,1,1.0,1.5,1.0,1.0
data\raw_slabs\synth_01_0015.jpg,1,2.0,1.3,1.1,1.4
data\raw_slabs\synth_01_0016.jpg,1,1.7,1.6,1.0,1.0
data\raw_slabs\synth_01_0017.jpg,1,1.0,1.0,1.0,1.9
data\raw_slabs\synth_01_0018.jpg,1,1.8,1.0,1.3,1.0
data\raw_slabs\synth_01_0019.jpg,1,1.8,1.0,1.0,1.0
data\raw_slabs\synth_02_0000.jpg,2,2.1,1.5,2.2,2.8
data\raw_slabs\synth_02_0001.jpg,2,1.8,1.4,3.0,2.0
data\raw_slabs\synth_02_0002.jpg,2,1.2,1.1,1.2,2.3
data\raw_slabs\synth_02_0003.jpg,2,2.6,1.8,1.1,1.8
data\raw_slabs\synth_02_0004.jpg,2,3.0,2.1,2.9,2.7
data\raw_slabs\synth_02_0005.jpg,2,1.0,2.4,2.4,2.1
data\raw_slabs\synth_02_0006.jpg,2,1.5,2.3,1.2,1.9
data\raw_slabs\synth_02_0007.jpg,2,1.9,2.9,2.8,1.5
data\raw_slabs\synth_02_0008.jpg,2,2.0,1.4,2.8,2.7
data\raw_slabs\synth_02_0009.jpg,2,1.6,2.3,2.2,1.3
data\raw_slabs\synth_02_0010.jpg,2,2.5,2.1,2.6,2.1
data\raw_slabs\synth_02_0011.jpg,2,1.0,1.6,1.0,2.9
data\raw_slabs\synth_02_0012.jpg,2,2.8,2.7,1.6,1.1
data\raw_slabs\synth_02_0013.jpg,2,2.8,2.9,1.2,2.0
data\raw_slabs\synth_02_0014.jpg,2,1.1,2.5,2.5,1.3
data\raw_slabs\synth_02_0015.jpg,2,2.0,2.1,1.5,2.7
data\raw_slabs\synth_02_0016.jpg,2,1.8,1.4,2.1,2.5
data\raw_slabs\synth_02_0017.jpg,2,1.4,1.6,3.0,2.3
data\raw_slabs\synth_02_0018.jpg,2,1.9,2.0,1.2,1.4
data\raw_slabs\synth_02_0019.jpg,2,1.7,2.2,1.5,1.4
data\raw_slabs\synth_03_0000.jpg,3,2.1,3.3,2.5,3.8
data\raw_slabs\synth_03_0001.jpg,3,3.7,2.1,2.5,3.3
data\raw_slabs\synth_03_0002.jpg,3,2.4,2.3,3.9,3.1
data\raw_slabs\synth_03_0003.jpg,3,2.9,3.6,3.6,2.4
data\raw_slabs\synth_03_0004.jpg,3,2.2,2.9,2.8,2.9
data\raw_slabs\synth_03_0005.jpg,3,3.5,3.3,4.0,2.2
